nodes,communities
_1D33P_,3
iKeepItTooReal,3
1942bs,3
saracohennyc,3
Ma1973sk,4
Variety,2
ppppolls,2
Trump2016Donald,4
brianbeutler,2
Mike_Beacham,4
SenFrankNiceley,5
joshgreenman,2
tyriquex,3
VickyBrush,4
YoungBLKRepub,5
politicususa,2
LisaVikingstad,3
hale_razor,5
KNP2BP,4
YoungDems4Trump,4
CGBPosts,3
WSJPolitics,5
Football__Tweet,1
cristinalaila1,4
MirageRanch,4
trrvisXX,1
katie_mburns,2
TransferRelated,1
NetworksManager,4
Stonewall_77,4
lachlan,5
PuestoLoco,2
SarahKSilverman,3
Bill_Cimbrelo,3
billmon1,3
FoxNewsInsider,4
TimBartender,3
HispanicsTrump,4
EntheosShines,4
ReutersPolitics,2
LeonHWolf,5
TheCIassicJams,1
FriendlyJMC,4
rose10052,5
THETXEMBASSY,5
GovGaryJohnson,5
RapFavorites,3
JacloPac,2
mtaibbi,3
s8n,3
olof_gustafsson,4
SportBrackets00,1
meanpIastic,1
mishacollins,3
Brown_Saraah,3
Bidenshairplugs,4
ABC7,3
healthandcents,4
gs777gs777,4
wilw,3
andendall,2
VanityFair,2
Shoq,2
haaretzcom,3
TrumpUntamed,4
TrumpSuperPAC,4
VictorPopeJr,3
ddiamond,2
joanneprada,3
ScottBLG,5
VaguelyFunnyDan,2
rappersaid,3
bannerite,2
sanderswillwin,3
TheNewDeal,3
MashableNews,5
BBCSporf,1
VicenteFoxQue,2
WORLDSTARVlNE,3
oldpicsarchive,2
chicagotribune,3
ToddHagopian,5
AristeguiOnline,2
andersonDrLJA,4
SteveRattner,2
fabrightwing,4
Natire2u,4
SteveKornacki,2
_Makada_,4
iamjohnoliver,2
jmartNYT,2
politicalwire,2
JohnDingell,2
perfectsliders,4
aylahugo6,4
PaulBegala,2
zzzeeshaan,3
blakehounshell,2
RexHuppke,2
SassySenSanders,3
gregpinelo,2
ron_fournier,5
CharlesMBlow,2
chanelpuke,3
jko417,4
WV4TRUMP1,4
bubbaprog,2
Saint_Obama,5
Shakestweetz,2
Thom_Hartmann,3
repmom2,4
StefanMolyneux,4
WhiteCodeine,3
elizabethforma,2
maryaliceparks,3
MarkHarrisNYC,2
JDiamond1,2
arianabrook2,4
Forbes,3
Toure,2
glennbeck,5
bloodless_coup,5
FrankConniff,2
weeklystandard,5
panegron,3
FemalesForTrump,4
